gen,best_in_gen,best_so_far,mean_fitness,elapsed_sec
210,0.018611,0.015000,0.023720,13761.0
211,0.018974,0.015000,0.023550,13824.7
212,0.019844,0.015000,0.023221,13888.4
213,0.019761,0.015000,0.023710,13952.2
214,0.019193,0.015000,0.023030,14015.2
215,0.018816,0.015000,0.026725,14076.6
216,0.018827,0.015000,0.023548,14139.2
217,0.015833,0.015000,0.023160,14204.3
218,0.018792,0.015000,0.023710,14268.9
219,0.017867,0.015000,0.022965,14332.7
220,0.017764,0.015000,0.023685,14393.8
221,0.020007,0.015000,0.023567,14456.9
222,0.016792,0.015000,0.024419,14522.5
223,0.018556,0.015000,0.023474,14583.5
224,0.018600,0.015000,0.023765,14644.9
225,0.019465,0.015000,0.024455,14708.3
226,0.019855,0.015000,0.025111,14773.0
227,0.016900,0.015000,0.024554,14837.1
228,0.018309,0.015000,0.023723,14901.0
229,0.019404,0.015000,0.023937,14965.0
230,0.018150,0.015000,0.023525,15028.9
231,0.019903,0.015000,0.025247,15090.7
232,0.019814,0.015000,0.023609,15156.9
233,0.019090,0.015000,0.023520,15221.3
234,0.017607,0.015000,0.023479,15286.2
235,0.020368,0.015000,0.024939,15356.6
236,0.018710,0.015000,0.025703,15425.7
237,0.018394,0.015000,0.025248,15493.0
238,0.018863,0.015000,0.023350,15558.4
239,0.018922,0.015000,0.023788,15628.9
240,0.017742,0.015000,0.023323,15698.2
241,0.019576,0.015000,0.023420,15763.7
242,0.020366,0.015000,0.023553,15829.7
243,0.019088,0.015000,0.023951,15901.4
244,0.018234,0.015000,0.023658,15969.4
245,0.018913,0.015000,0.023738,16037.6
246,0.020682,0.015000,0.024309,16105.6
247,0.019716,0.015000,0.024513,16174.5
248,0.019623,0.015000,0.025260,16243.7
249,0.020042,0.015000,0.024858,16312.5
250,0.019535,0.015000,0.023887,16381.2
251,0.019494,0.015000,0.025632,16449.9
252,0.017453,0.015000,0.024085,16518.4
253,0.019177,0.015000,0.024003,16587.6
254,0.017734,0.015000,0.025666,16656.6
255,0.020016,0.015000,0.024352,16725.1
256,0.018468,0.015000,0.023431,16793.3
257,0.018555,0.015000,0.024366,16861.5
258,0.018789,0.015000,0.024738,16929.9
259,0.019730,0.015000,0.024729,16998.1
260,0.019372,0.015000,0.023301,17066.5
261,0.019733,0.015000,0.023645,17134.9
262,0.019213,0.015000,0.023655,17203.2
263,0.020455,0.015000,0.023731,17271.5
264,0.019084,0.015000,0.023513,17340.0
265,0.018712,0.015000,0.023302,17408.5
266,0.017699,0.015000,0.024264,17477.3
267,0.017675,0.015000,0.023522,17546.1
268,0.020030,0.015000,0.023674,17615.1
269,0.019954,0.015000,0.023696,17684.0
