condition,condition_seed,damage_seed,final_hamming,auc,half_life,survived
no_modulation,1,6,0.037218,0.015838,4.5,1
no_modulation,1,7,0.042209,0.027325,2.1,1
no_modulation,2,0,0.049262,0.026226,45.2,1
no_modulation,2,1,0.056532,0.033560,4.3,1
no_modulation,2,2,0.045898,0.021047,4.9,1
no_modulation,2,3,0.045247,0.022307,5.2,1
no_modulation,2,4,0.030707,0.024832,5.6,1
no_modulation,2,5,0.026042,0.017129,6.9,1
no_modulation,2,6,0.020833,0.013725,5.7,1
no_modulation,2,7,0.025933,0.010151,7.6,1
no_modulation,3,0,0.047526,0.034583,40.3,1
no_modulation,3,1,0.037109,0.030727,3.6,1
no_modulation,3,2,0.010308,0.011863,6.4,1
no_modulation,3,3,0.045898,0.027757,3.2,1
no_modulation,3,4,0.047526,0.032704,1.8,1
no_modulation,3,5,0.031141,0.020850,4.8,1
no_modulation,3,6,0.041667,0.016740,4.8,1
no_modulation,3,7,0.022569,0.006988,8.9,1
no_modulation,4,0,0.046007,0.034777,52.9,1
no_modulation,4,1,0.028429,0.026434,4.7,1
no_modulation,4,2,0.043077,0.027474,4.4,1
no_modulation,4,3,0.031359,0.021892,4.7,1
no_modulation,4,4,0.035916,0.023145,9.0,1
no_modulation,4,5,0.035916,0.018677,10.9,1
no_modulation,4,6,0.037869,0.020987,3.0,1
no_modulation,4,7,0.058919,0.042188,1.3,1
