step,m_k0,m_k1,m_k2
420,0.046732,0.005077,-0.020403
421,0.045527,0.004946,-0.019877
422,0.044381,0.004822,-0.019377
423,0.043291,0.004703,-0.018901
424,0.042254,0.004591,-0.018448
425,0.041267,0.004484,-0.018017
426,0.040329,0.004382,-0.017607
427,0.039436,0.004285,-0.017217
428,0.038587,0.004192,-0.016847
429,0.037779,0.004105,-0.016494
430,0.046871,0.005094,-0.020464
431,0.045666,0.004963,-0.019938
432,0.044519,0.004838,-0.019438
433,0.043429,0.004720,-0.018961
434,0.042391,0.004607,-0.018508
435,0.041405,0.004500,-0.018078
436,0.040466,0.004398,-0.017668
437,0.039573,0.004301,-0.017278
438,0.038724,0.004208,-0.016907
439,0.037916,0.004120,-0.016554
440,0.047004,0.005110,-0.020523
441,0.045798,0.004979,-0.019996
442,0.044652,0.004854,-0.019496
443,0.043561,0.004736,-0.019019
444,0.042523,0.004623,-0.018566
445,0.041536,0.004515,-0.018135
446,0.040598,0.004413,-0.017726
447,0.039705,0.004316,-0.017336
448,0.038855,0.004224,-0.016965
449,0.038047,0.004136,-0.016612
450,0.047120,0.005125,-0.020574
451,0.045914,0.004994,-0.020048
452,0.044768,0.004869,-0.019547
453,0.043677,0.004751,-0.019071
454,0.042640,0.004638,-0.018618
455,0.041653,0.004530,-0.018187
456,0.040715,0.004428,-0.017777
457,0.039822,0.004331,-0.017387
458,0.038973,0.004238,-0.017017
459,0.038165,0.004150,-0.016664
460,0.047229,0.005136,-0.020622
461,0.046024,0.005005,-0.020096
462,0.044878,0.004880,-0.019595
463,0.043788,0.004762,-0.019119
464,0.042750,0.004649,-0.018666
465,0.041764,0.004542,-0.018236
466,0.040826,0.004439,-0.017826
467,0.039933,0.004342,-0.017436
468,0.039084,0.004250,-0.017065
469,0.038276,0.004162,-0.016713
470,0.047343,0.005149,-0.020672
471,0.046138,0.005018,-0.020146
472,0.044991,0.004893,-0.019645
473,0.043901,0.004774,-0.019169
474,0.042864,0.004662,-0.018716
475,0.041877,0.004554,-0.018285
476,0.040938,0.004452,-0.017875
477,0.040045,0.004355,-0.017485
478,0.039196,0.004262,-0.017115
479,0.038388,0.004175,-0.016762
480,0.047442,0.005160,-0.020715
481,0.046237,0.005029,-0.020189
482,0.045091,0.004904,-0.019689
483,0.044000,0.004786,-0.019213
484,0.042963,0.004673,-0.018760
485,0.041977,0.004565,-0.018329
486,0.041038,0.004463,-0.017919
487,0.040146,0.004366,-0.017529
488,0.039297,0.004274,-0.017159
489,0.038489,0.004186,-0.016806
490,0.047539,0.005171,-0.020758
491,0.046334,0.005040,-0.020232
492,0.045188,0.004915,-0.019732
493,0.044098,0.004796,-0.019256
494,0.043061,0.004683,-0.018803
495,0.042074,0.004576,-0.018372
496,0.041136,0.004474,-0.017962
497,0.040244,0.004377,-0.017572
498,0.039395,0.004284,-0.017202
499,0.038587,0.004197,-0.016849
500,0.047633,0.005180,-0.020799
501,0.046428,0.005049,-0.020273
502,0.045282,0.004925,-0.019773
503,0.044192,0.004806,-0.019297
504,0.043155,0.004693,-0.018844
505,0.042168,0.004586,-0.018413
506,0.041230,0.004484,-0.018003
507,0.040337,0.004387,-0.017613
508,0.039488,0.004294,-0.017242
509,0.038680,0.004206,-0.016890
510,0.047722,0.005189,-0.020838
511,0.046517,0.005058,-0.020311
512,0.045371,0.004933,-0.019811
513,0.044280,0.004814,-0.019335
514,0.043243,0.004702,-0.018882
515,0.042257,0.004594,-0.018451
516,0.041319,0.004492,-0.018042
517,0.040426,0.004395,-0.017652
518,0.039577,0.004303,-0.017281
519,0.038769,0.004215,-0.016928
520,0.047805,0.005198,-0.020874
521,0.046600,0.005067,-0.020348
522,0.045454,0.004942,-0.019848
523,0.044364,0.004824,-0.019372
524,0.043327,0.004711,-0.018919
525,0.042341,0.004604,-0.018488
526,0.041402,0.004502,-0.018078
527,0.040510,0.004405,-0.017689
528,0.039661,0.004312,-0.017318
529,0.038853,0.004224,-0.016965
530,0.047885,0.005206,-0.020909
531,0.046680,0.005075,-0.020383
532,0.045534,0.004950,-0.019883
533,0.044444,0.004832,-0.019407
534,0.043407,0.004719,-0.018954
535,0.042421,0.004612,-0.018523
536,0.041482,0.004510,-0.018113
537,0.040590,0.004413,-0.017724
538,0.039741,0.004321,-0.017353
539,0.038933,0.004233,-0.017000
540,0.047972,0.005217,-0.020947
541,0.046767,0.005086,-0.020421
542,0.045620,0.004961,-0.019920
543,0.044530,0.004842,-0.019444
544,0.043492,0.004729,-0.018991
545,0.042505,0.004622,-0.018560
546,0.041567,0.004520,-0.018150
547,0.040674,0.004423,-0.017760
548,0.039824,0.004330,-0.017389
549,0.039016,0.004243,-0.017037
550,0.048034,0.005223,-0.020975
551,0.046830,0.005092,-0.020448
552,0.045684,0.004968,-0.019948
553,0.044593,0.004849,-0.019472
554,0.043556,0.004736,-0.019019
555,0.042570,0.004629,-0.018588
556,0.041632,0.004527,-0.018179
557,0.040739,0.004430,-0.017789
558,0.039890,0.004337,-0.017418
559,0.039082,0.004250,-0.017065
560,0.048114,0.005233,-0.021009
561,0.046908,0.005102,-0.020483
562,0.045762,0.004977,-0.019982
563,0.044671,0.004859,-0.019506
564,0.043634,0.004746,-0.019053
565,0.042647,0.004638,-0.018622
566,0.041708,0.004536,-0.018212
567,0.040815,0.004439,-0.017822
568,0.039966,0.004347,-0.017451
569,0.039158,0.004259,-0.017099
570,0.048169,0.005238,-0.021034
571,0.046965,0.005107,-0.020507
572,0.045818,0.004982,-0.020007
573,0.044728,0.004863,-0.019531
574,0.043691,0.004751,-0.019078
575,0.042705,0.004643,-0.018647
576,0.041766,0.004541,-0.018237
577,0.040874,0.004444,-0.017848
578,0.040025,0.004352,-0.017477
579,0.039217,0.004264,-0.017124
580,0.048231,0.005244,-0.021061
581,0.047026,0.005113,-0.020534
582,0.045880,0.004989,-0.020034
583,0.044790,0.004870,-0.019558
584,0.043753,0.004757,-0.019105
585,0.042767,0.004650,-0.018674
586,0.041828,0.004548,-0.018265
587,0.040936,0.004451,-0.017875
588,0.040087,0.004359,-0.017504
589,0.039279,0.004271,-0.017151
590,0.048301,0.005252,-0.021091
591,0.047095,0.005121,-0.020565
592,0.045949,0.004997,-0.020064
593,0.044858,0.004878,-0.019588
594,0.043821,0.004765,-0.019135
595,0.042834,0.004658,-0.018704
596,0.041895,0.004556,-0.018294
597,0.041002,0.004459,-0.017904
598,0.040153,0.004366,-0.017533
599,0.039345,0.004278,-0.017180
600,0.049718,0.005569,-0.021668
601,0.048450,0.005424,-0.021116
602,0.047243,0.005286,-0.020591
603,0.046095,0.005154,-0.020092
604,0.045003,0.005029,-0.019616
605,0.043965,0.004909,-0.019164
606,0.042977,0.004796,-0.018735
607,0.042037,0.004688,-0.018326
608,0.041143,0.004586,-0.017937
609,0.040293,0.004488,-0.017567
610,0.048529,0.005284,-0.021172
611,0.047321,0.005153,-0.020646
612,0.046172,0.005028,-0.020145
613,0.045079,0.004909,-0.019668
614,0.044040,0.004796,-0.019215
615,0.043051,0.004688,-0.018783
616,0.042110,0.004586,-0.018373
617,0.041215,0.004489,-0.017983
618,0.040364,0.004396,-0.017612
619,0.039554,0.004308,-0.017259
620,0.048531,0.005247,-0.021177
621,0.047325,0.005118,-0.020651
622,0.046178,0.004995,-0.020151
623,0.045087,0.004878,-0.019675
624,0.044050,0.004766,-0.019222
625,0.043062,0.004660,-0.018791
626,0.042123,0.004559,-0.018382
627,0.041230,0.004464,-0.017992
628,0.040381,0.004372,-0.017622
629,0.039572,0.004286,-0.017269
630,0.048569,0.005243,-0.021193
631,0.047363,0.005114,-0.020668
632,0.046217,0.004991,-0.020167
633,0.045126,0.004874,-0.019692
634,0.044089,0.004763,-0.019239
635,0.043102,0.004658,-0.018809
636,0.042163,0.004557,-0.018399
637,0.041270,0.004462,-0.018010
638,0.040421,0.004371,-0.017639
639,0.039613,0.004284,-0.017287
640,0.048610,0.005237,-0.021210
641,0.047405,0.005108,-0.020684
642,0.046259,0.004986,-0.020184
643,0.045168,0.004869,-0.019708
644,0.044131,0.004759,-0.019256
645,0.043144,0.004653,-0.018825
646,0.042205,0.004553,-0.018416
647,0.041312,0.004458,-0.018027
648,0.040463,0.004367,-0.017656
649,0.039655,0.004281,-0.017304
650,0.048653,0.005234,-0.021227
651,0.047448,0.005106,-0.020701
652,0.046301,0.004984,-0.020201
653,0.045211,0.004867,-0.019725
654,0.044173,0.004757,-0.019273
655,0.043186,0.004652,-0.018842
656,0.042248,0.004552,-0.018433
657,0.041355,0.004457,-0.018044
658,0.040505,0.004366,-0.017673
